site id_number one_lon two_lon three_lon four_lon one_lat two_lat three_lat four_lat
Palanas 39858 124.708971000291 124.711848035089 124.711729585449 124.714607746341 10.875008490007 10.8771576049219 10.8714458521213 10.8735958438182
Wangag 39556 124.711729585449 124.714607746341 124.714489261706 124.717368549054 10.8714458521213 10.8735958438182 10.8678817783851 10.8700326450758
Magbangon 38650 124.720011878459 124.722893420828 124.722774815048 124.725657486497 10.8607493200849 10.8629019321773 10.8571809330877 10.8593344159746
Cabatoan 38348 124.722774815048 124.725657486497 124.725538834918 124.728422636839 10.8571809330877 10.8593344159746 10.8536111053719 10.8557654580391
Caridad_Proper 36537 124.742264629551 124.745153432981 124.745036273915 124.747926221415 10.8378989671977 10.84005853503 10.8343213092128 10.8364817471143
Caridad_Proper 36235 124.745036273915 124.747926221415 124.747809000572 124.750700095226 10.8343213092128 10.8364817471143 10.8307421898953 10.8329034983981
Caridad_Cemetery 35933 124.747809000572 124.750700095226 124.750582810163 124.753475055326 10.8307421898953 10.8329034983981 10.8271616051264 10.8293237849549
Hicgop 34725 124.758910746665 124.761806466224 124.761688899351 124.764585785592 10.8164110118481 10.8185758119337 10.8128245172982 10.8149901935441
Hicgop 34423 124.761688899351 124.764585785592 124.76446814189 124.767366199558 10.8128245172982 10.8149901935441 10.809236531585 10.8114030856876
Sitio_Tugas 34120 124.761569397015 124.76446814189 124.764348553579 124.767248476413 10.8070708771509 10.809236531585 10.8034805184337 10.8056470485186
Elementary_School 33516 124.767128799027 124.770029905303 124.769910135701 124.772812431196 10.7998886539511 10.8020560615509 10.7962952765955 10.7984635637711
Sitio_Lonas 31703 124.780924249286 124.783833287086 124.783710963746 124.786621234472 10.7761336399973 10.7783054218437 10.7725301251095 10.7747027969593
San_Agustin 31400 124.780799996608 124.783710963746 124.78358657406 124.78649878482 10.7703584025516 10.7725301251095 10.766752424491 10.7689250337358
Poroc_San_Flowers 31097 124.780673669761 124.78358657406 124.783460094492 124.786374253558 10.7645807730771 10.766752424491 10.7609723220222 10.7631448563547
Poroc_Rose 30492 124.783331500392 124.786247616112 124.786118846779 124.789036238515 10.7551898204477 10.7573622667455 10.7515772675654 10.7537505955655
Pangasugan 30189 124.783200765993 124.786118846779 124.785987918725 124.78890728808 10.749404923252 10.7515772675654 10.7457898622295 10.7479630834434
Visca 29886 124.783067864414 124.785987918725 124.785854803984 124.788776159864 10.7436176346898 10.7457898622295 10.7400000549434 10.7421731540761
Gabas 28677 124.79129610885 124.794222125423 124.794086045868 124.797013413476 10.7269625761469 10.7291372774296 10.7233373806254 10.7255129569026
Tamakin_Dacot 25038 124.780620520817 124.783573258877 124.783400454782 124.786354755824 10.650702811555 10.6528704287419 10.6470435577449 10.6492118777671
Haina 24734 124.777490246419 124.78044561413 124.780267875418 124.783224823626 10.6427105482482 10.6448764482106 10.6390479462307 10.6412145164265
Haina 24433 124.783224823626 124.786181246169 124.78600486838 124.788962893311 10.6412145164265 10.64338231196 10.6375505690561 10.6397190490833
Sitio_Baybayon 24732 124.771577979958 124.774534364188 124.774352453507 124.777310414426 10.6383823720563 10.6405458566772 10.6347184767734 10.63688260017
Sitio_Baybayon 24430 124.774352453507 124.777310414426 124.777127701029 124.780087259022 10.6347184767734 10.63688260017 10.631052572992 10.6332173323794
